Year,Type,Description,Impact,Source,Era,Extraction_Method
2017,Aero,"Comprehensive aerodynamic overhaul for 2017: cars made wider and aerodynamics revised (wider front and rear wings, changes to wing profiles, floor and diffuser geometry and bodywork packaging) to generate substantially more downforce and increase cornering speeds and lap performance.",Revolutionary,FIA 2017,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2017,Aero,"Tyre and wheel regulation changes: significantly wider tyres introduced (much larger front and rear tyre widths and corresponding wheel track increases) and tyre construction/compound specifications adapted to suit the new aero package, increasing mechanical grip.",Major,FIA 2017,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2017,Aero,Car dimensional and mass adjustments: overall vehicle width and track increased (wider cars) and minimum car weight raised to reflect larger tyres/components and safety/technical requirements.,Major,FIA 2017,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2017,Engine,"Power unit rules largely carried over from prior seasons: the hybrid turbocharged power unit architecture, component allocation limits and penalty system remained in force with no major structural changes to PU regulations.",Minor,FIA 2017,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2017,Safety,Incremental safety rule updates: ongoing tightening of crash-test and component-strength requirements (including wheel-tether and survival-cell criteria) as part of continuous safety development; major cockpit protection (Halo) was not yet mandatory in 2017.,Minor,FIA 2017,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2017,Financial,No new cost-cap or major financial redistribution introduced for 2017; existing commercial/Concorde Agreement arrangements and prize-money frameworks remained in place (no major financial-rule changes for the season).,Minor,FIA 2017,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2018,Safety,"Mandatory introduction of the 'halo' cockpit protection device for all cars, with associated homologation, installation and compatibility requirements.",Major,FIA 2018,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2018,Safety,"Revised cockpit and chassis test procedures and strengthening requirements (headrest, rollover protection and integrity tests) to reflect halo integration and to improve driver protection.",Minor,FIA 2018,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2018,Engine,"Continuation and enforcement of power unit development restrictions and component allocation rules (homologation/limits), with grid-place penalties applied for exceeding permitted components during an event weekend.",Minor,FIA 2018,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2018,Aero,Technical clarifications and targeted adjustments to aero-related definitions (bodywork/floor/wing appendages) to ensure compliance and address issues arising from the 2017 aerodynamic rule changes; primarily clarifications rather than wholesale redesign.,Minor,FIA 2018,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2018,Financial,No major financial regulatory reforms (no budget cap in force); ongoing discussions and studies by the FIA and stakeholders about cost control measures for future seasons.,Minor,FIA 2018,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2019,Aero,Tightened interpretation and enforcement of aerodynamic appendages and bodywork items (including stricter deflection/flexibility tests) to reduce the use of small aero devices that create wake/downforce sensitivity; clearer limits on brake-duct and vane geometries to curb aerodynamic exploitation of those components.,Major,FIA 2019,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2019,Safety,"Strengthened cockpit and structural safety requirements: enhanced side-impact and frontal crash testing criteria, continued mandatory implementation and homologation requirements relating to the Halo device, and updated headrest/retention system specifications to improve driver protection.",Major,FIA 2019,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2019,Engine,Continuation of power-unit development restrictions under the existing token/approval frameworks and tighter parc fermé/engine usage clarifications; emphasis on reliability and controlled in-season power unit changes to limit development-driven performance swings.,Minor,FIA 2019,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2019,Financial,No operational cost cap in force for 2019 but continued emphasis on financial governance and transparency under the Concorde Agreement framework; existing limits on wind-tunnel/aero test time and related resource restrictions remained in place to control development costs.,Minor,FIA 2019,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2020,Aero,No wholesale aerodynamic rule change for 2020—teams competed under the 2019-derived technical regulations. The FIA issued only clarifications and minor technical directives to tighten interpretations and policing of aerodynamic items and testing procedures.,Minor,FIA 2020,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2020,Financial,No budget cap or major financial-regulation overhaul was implemented for 2020. Financial rule activity consisted mainly of administrative updates and ongoing discussions toward future cost-control measures that were deferred.,Minor,FIA 2020,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2020,Safety,"Safety regulations continued to evolve incrementally: existing measures such as the halo and strengthened chassis crash-test regimes remained in force, and the FIA published updates/clarifications to safety and medical procedures and homologation/testing requirements.",Minor,FIA 2020,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2020,Engine,Power-unit regulations were carried over with no new engine formula introduced; component allocation and penalty frameworks remained in place with only clarifications to application and enforcement.,Minor,FIA 2020,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2021,Financial,"Introduction of the FIA cost cap (budget cap) for the 2021 World Championship season to limit team spending and improve financial parity (cap set at approximately $145 million for 2021, with specified exclusions and reporting/enforcement mechanisms).",Major,FIA 2021,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2021,Engine,Tighter power unit development and homologation restrictions to curb costs and limit in-season engine development; strengthened monitoring of engine mappings and unit allocations to reduce performance divergence and costly development races between manufacturers.,Major,FIA 2021,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2021,Safety,"Sporting and event-format changes including the introduction of the Sprint Qualifying format at selected rounds (short, points-scoring sprint races used to set the grid) and continued updates to crash-test and cockpit protection requirements — aimed at improving spectacle while maintaining or enhancing safety standards.",Major,FIA 2021,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2021,Aero,"Targeted technical regulation tweaks and clarifications affecting aerodynamic elements (technical directives and dimensional clarifications on bodywork, floor and appendages) together with continued limits on aerodynamic development (wind tunnel/CFD time) to control costs and close performance gaps; mainly incremental rather than wholesale aero rule change (major aerodynamic overhaul deferred to 2022).",Minor,FIA 2021,Pre-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Aero,"Complete aerodynamic rule overhaul to return to ground-effect downforce (underfloor venturi tunnels), simplified front and rear wings, removal/restriction of complex bargeboards and small aero appendages, and features to reduce dirty air and promote closer racing.",Revolutionary,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Aero,"Introduction of larger 18-inch wheel rims with lower-profile tyres and revised wheel/tyre sizing and constructions, plus new requirements for wheel rims, brakes and associated cooling to suit the new tyre format.",Major,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Aero,"Wider car track and bodywork packaging changes (adjusted body widths, revised floors and diffuser geometry) to work with the new ground-effect philosophy and tyre dimensions.",Major,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Financial,"Continuation and adjustment of the FIA Formula 1 cost (budget) cap regime with the 2022 cap set for the season (continuing multi-year reduction trajectory), plus tightened compliance, reporting and enforcement measures.",Major,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Financial,"Stronger sanctions and clarified penalty framework for breaches of financial regulations and spending limits, including sporting and financial penalties and independent review processes.",Major,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Safety,"Updated crash test and structural safety requirements to reflect new packaging and loads from ground-effect cars and larger wheels (including updated side-impact and chassis intrusion tests), plus related homologation updates.",Major,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Safety,"Changes to minimum vehicle mass and associated ballast rules to account for heavier components (18-inch wheels, new aero and safety structures) and to maintain fair competition and safety margins.",Minor,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2022,Engine,"Power unit regulations largely retained but with tighter monitoring/enforcement of homologation, fuel flow and permitted oil/fuel usage to ensure parity and limit development-driven costs; no major PU architecture changes in 2022.",Minor,FIA 2022,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2023,Aero,"Tighter technical enforcement and clarifications around ground-effect cars introduced in 2022: stricter checks on floor/plank wear and deflection, reinforced limits on flexible bodywork and ride-height behaviour to reduce porpoising and avoid excessive aerodynamic gains from illicit flexing.",Major,FIA 2023,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2023,Aero,Small targeted clarifications and restrictions to aerodynamic appendages and wheel rim/winglet deflection testing to close loopholes teams had been exploiting under the 2022 aerodynamic regulations.,Minor,FIA 2023,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2023,Financial,"Cost-cap regime continued with adjustments for the 2023 season along with tightened compliance, clarified permitted exclusions and stronger enforcement/penalty procedures to improve transparency and deter breaches.",Major,FIA 2023,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2023,Financial,"Updates to sporting regulations covering operational and staff cost treatment, plus clearer guidance on marketing and driver-related expenses to align with the financial rules.",Minor,FIA 2023,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2023,Safety,Enhanced safety measures and test procedures: stronger wheel tether requirements and additional clarification/tightening of crash test and homologation standards (including ongoing development of helmet and cockpit protection standards).,Major,FIA 2023,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2023,Safety,"Procedural changes to race weekend operations and medical/safety protocols (clarifications on marshals, medical response processes and on-track safety procedures) to improve incident response consistency.",Minor,FIA 2023,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2023,Engine,Power-unit development and homologation controls continued to limit in-season engine development; the technical and sporting rules also advanced the transition path to sustainable fuels and clarified fuel flow and measurement enforcement.,Major,FIA 2023,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2024,Financial,"Reduction of the 2024 budget cap (set at USD 135,000,000) with tightened monitoring, clearer definitions of excluded expenditure and firmer penalties and enforcement for breaches.",Major,FIA 2024,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2024,Engine,"Continuation of power‑unit homologation/freeze arrangements with only very limited development permitted, tighter limits on component usage and lifecycle, and ongoing steps toward higher blends of sustainable fuel as part of the transition to the 2026 PU regulations.",Major,FIA 2024,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2024,Aero,"Targeted technical clarifications and small regulation amendments (not wholesale rule change) covering floor definition, plank/wear limits, ride‑height enforcement and porpoising mitigation measures — aimed at consistent enforcement of the 2022 ground‑effect rule set and closer racing.",Minor,FIA 2024,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2024,Safety,Updates to vehicle safety and crashworthiness requirements including strengthened rollover/impact test criteria and clarifications to cockpit protection and trackside medical/safety protocols to improve driver protection and response procedures.,Minor,FIA 2024,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2025,Aero,"As of the latest FIA publications available up to mid‑2024, there were no new, standalone aerodynamic regulation changes specifically introduced for the 2025 season; the 2022-era ground-effect technical package remained the governing framework. Any FIA amendments for 2025 would be published in the FIA 2025 technical regulations.",Minor,FIA 2025,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2025,Financial,"No distinct, newly announced financial (budget cap) changes for 2025 were confirmed in FIA releases available through mid‑2024. The existing cost-cap framework and related compliance processes in force continued to apply; teams should consult FIA 2025 releases for any subsequent adjustments.",Minor,FIA 2025,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
2025,Safety,No major new safety regulations specific to the 2025 season were published by the FIA as of mid‑2024 beyond ongoing iterative safety updates; existing FIA safety standards and mandatory equipment requirements remained applicable. See FIA 2025 for any later safety bulletins or updates.,Minor,FIA 2025,Post-2022,OpenAI API (gpt-5-mini-2025-08-07)
